#market=YM,last=52508.00,open=52090.09
market,date,dow,close,poc,vah,val,vol,delta,high,low
YM,09/08,Mar,53256.25,53287.00,53354.00,53215.00,49429,1483,53491.00,53175.00
YM,09/09,Mie,52844.75,52847.00,52923.00,52807.00,49294,656,53012.00,52756.00
YM,09/10,Jue,52511.25,52487.00,52619.00,52457.00,48701,157,52733.00,52409.00
YM,09/11,Vie,53001.25,53022.00,53105.00,52997.00,42527,-1029,53156.00,52845.00
YM,09/14,Lun,52860.50,52896.00,52966.00,52822.00,35989,-7,53090.00,52710.00
YM,09/15,Mar,52529.75,52496.00,52538.00,52361.00,47912,-62,52767.00,52317.00
YM,09/16,Mie,51915.25,52502.00,52650.00,52010.00,59701,-745,52650.00,51609.00
YM,09/17,Jue,52217.25,52230.00,52287.00,52146.00,51461,-2375,52484.06,52044.00
YM,09/18,Vie,52076.75,52082.00,52140.00,51967.00,47677,-591,52193.00,51888.00
